"filename", "language", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Properties", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\AnaysisModel.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\AnaysisModel.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\AnaysisModel.RazorAssemblyInfo.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 9, 5, 18
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\AnaysisModel.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\scopedcss\Pages\Shared\_Layout.cshtml.rz.scp.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 2, 9, 49
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\scopedcss\bundle\Anaysis Model.styles.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\scopedcss\bundle\AnaysisModel.styles.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\scopedcss\projectbundle\Anaysis Model.bundle.scp.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\scopedcss\projectbundle\AnaysisModel.bundle.scp.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 1198, 0, 0, 0, 0, 0, 0, 0, 1198
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets.pack.json", "JSON", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 265
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.Anaysis Model.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 980, 0, 0, 0, 0, 0, 0, 0, 0, 980
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.AnaysisModel.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 980, 0, 0, 0, 0, 0, 0, 0, 0, 980
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.build.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.build.AnaysisModel.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.AnaysisModel.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.AnaysisModel.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\Anaysis Model.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\Anaysis Model.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\Anaysis Model.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\Anaysis Model.RazorAssemblyInfo.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 9, 5, 18
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\scopedcss\Pages\Shared\_Layout.cshtml.rz.scp.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 2, 9, 49
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\scopedcss\bundle\Anaysis Model.styles.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\scopedcss\projectbundle\Anaysis Model.bundle.scp.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 3, 9, 50
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets.build.json", "JSON", 0, 0, 1198, 0, 0, 0, 0, 0, 0, 0, 1198
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets.development.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets.pack.json", "JSON", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 265
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets\msbuild.Anaysis Model.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 980, 0, 0, 0, 0, 0, 0, 0, 0, 980
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets\msbuild.build.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets\msbuild.buildMultiTargeting.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\Release\net8.0\staticwebassets\msbuild.buildTransitive.Anaysis Model.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\obj\project.assets.json", "JSON", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 315
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\css\site.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3855, 0, 0, 0, 7, 1135, 4997
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3855, 0, 0, 0, 7, 1134, 4996
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 347, 0, 0, 0, 16, 64, 427
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 353, 0, 0, 0, 8, 63, 424
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 3729, 0, 0, 0, 9, 1128, 4866
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 3725, 0, 0, 0, 7, 1125, 4857
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "CSS", 0, 0, 0, 0, 9453, 0, 0, 0, 27, 1741, 11221
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 9455, 0, 0, 0, 7, 1735, 11197
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4846, 0, 584, 1351, 6781
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3418, 0, 495, 1065, 4978
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3457, 0, 501, 1069, 5027
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.js", "JavaScript", 0, 0, 0, 0, 0, 0, 306, 0, 76, 54, 436
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 18, 0, 5, 23
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation\dist\additional-methods.js", "JavaScript", 0, 0, 0, 0, 0, 0, 867, 0, 443, 202, 1512
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation\dist\additional-methods.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 4
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation\dist\jquery.validate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1228, 0, 189, 244, 1661
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 4
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery\dist\jquery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6895, 0, 1911, 2076, 10882
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\wwwroot\lib\jquery\dist\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"Total", "-", 876, 7463, 6035, 118, 35142, 133, 21024, 18, 4537, 14578, 89924